annotations_model_1,annotations_model_2,Kappa,Krippendorff  alpha,Scott pi,Bennett s
Llama2 Affiliation_parsed,nltk_sent_max,0.0,-0.11266285580640267,-0.1128881368057559,0.6817813765182187
Llama2 Affiliation_parsed,NLTK Sentiment (from compound),0.000369202283070645,-0.5017518024070131,-0.5020558622981667,-0.2459514170040486
Llama2 Affiliation_parsed,Financial Sentiment,-0.0593557338290128,-0.10827558125880832,-0.10849997396608911,0.47874493927125494
Llama2 Affiliation_parsed,News Sentiment,0.0026269983692705536,-0.6030576366126421,-0.6033822079097899,-0.18269230769230768
Llama2 Affiliation_parsed,Political Affiliation,0.0,-0.4824404399881834,-0.4827405899051685,-0.19999999999999998
nltk_sent_max,Llama2 Affiliation_parsed,0.0,-0.11266285580640267,-0.1128881368057559,0.6817813765182187
nltk_sent_max,NLTK Sentiment (from compound),0.0,-0.7214911221585378,-0.7218396726995701,-0.4945344129554655
nltk_sent_max,Financial Sentiment,0.0,-0.09676783594988803,-0.09698989868241488,0.6544534412955466
nltk_sent_max,News Sentiment,0.0,-0.8743882308911985,-0.8747677385305773,-0.4022267206477732
nltk_sent_max,Political Affiliation,0.0,-0.6949359063688214,-0.6952790802717103,-0.3333333333333333
NLTK Sentiment (from compound),Llama2 Affiliation_parsed,0.000369202283070645,-0.5017518024070131,-0.5020558622981667,-0.2459514170040486
NLTK Sentiment (from compound),nltk_sent_max,0.0,-0.7214911221585378,-0.7218396726995701,-0.4945344129554655
NLTK Sentiment (from compound),Financial Sentiment,0.0450288804274231,-0.35836871847640883,-0.3586437475751084,-0.23765182186234815
NLTK Sentiment (from compound),News Sentiment,0.10799853993056877,0.052315257384546676,0.05212337952615082,0.6611336032388663
NLTK Sentiment (from compound),Political Affiliation,0.0,-0.49144888279453225,-0.49175085665215396,-0.19999999999999998
Financial Sentiment,Llama2 Affiliation_parsed,-0.0593557338290128,-0.10827558125880832,-0.10849997396608911,0.47874493927125494
Financial Sentiment,nltk_sent_max,0.0,-0.09676783594988803,-0.09698989868241488,0.6544534412955466
Financial Sentiment,NLTK Sentiment (from compound),0.0450288804274231,-0.35836871847640883,-0.3586437475751084,-0.23765182186234815
Financial Sentiment,News Sentiment,0.013334063897064657,-0.5062926776827295,-0.5065976569655161,-0.20425101214574892
Financial Sentiment,Political Affiliation,0.0,-0.4602235988444927,-0.4605192505146373,-0.19999999999999998
News Sentiment,Llama2 Affiliation_parsed,0.0026269983692705536,-0.6030576366126421,-0.6033822079097899,-0.18269230769230768
News Sentiment,nltk_sent_max,0.0,-0.8743882308911985,-0.8747677385305773,-0.4022267206477732
News Sentiment,NLTK Sentiment (from compound),0.10799853993056877,0.052315257384546676,0.05212337952615082,0.6611336032388663
News Sentiment,Financial Sentiment,0.013334063897064657,-0.5062926776827295,-0.5065976569655161,-0.20425101214574892
News Sentiment,Political Affiliation,0.0,-0.609731811868492,-0.6100577344868091,-0.19999999999999998
Political Affiliation,Llama2 Affiliation_parsed,0.0,-0.4824404399881834,-0.4827405899051685,-0.19999999999999998
Political Affiliation,nltk_sent_max,0.0,-0.6949359063688214,-0.6952790802717103,-0.3333333333333333
Political Affiliation,NLTK Sentiment (from compound),0.0,-0.49144888279453225,-0.49175085665215396,-0.19999999999999998
Political Affiliation,Financial Sentiment,0.0,-0.4602235988444927,-0.4605192505146373,-0.19999999999999998
Political Affiliation,News Sentiment,0.0,-0.609731811868492,-0.6100577344868091,-0.19999999999999998
